Entity,Code,Year,"Daily smoking prevalence - both (IHME, GHDx (2012))",Population
Afghanistan,AFG,1997,11.6,18452100
Albania,ALB,1997,20.9,3229665
Algeria,DZA,1997,16.700001,29579300
Andorra,AND,1997,30.799999,64721
Angola,AGO,1997,8.8999996,14660420
Antigua and Barbuda,ATG,1997,3.7,71071
Argentina,ARG,1997,24.4,35947790
Armenia,ARM,1997,27.5,3246292
Australia,AUS,1997,23.0,18504909
Austria,AUT,1997,27.9,7969802
Azerbaijan,AZE,1997,20.799999,7936220
Bahamas,BHS,1997,10.9,310914
Bahrain,BHR,1997,14.4,624020
Bangladesh,BGD,1997,22.9,127198069
Barbados,BRB,1997,6.6999998,262404
Belarus,BLR,1997,29.700001,10122364
Belgium,BEL,1997,30.0,10181465
Belize,BLZ,1997,9.5,217457
Benin,BEN,1997,8.6000004,6583375
Bhutan,BTN,1997,10.5,558699
Bolivia,BOL,1997,34.599998,8167910
Bosnia and Herzegovina,BIH,1997,37.0,4018228
Botswana,BWA,1997,13.7,1571699
Brazil,BRA,1997,17.200001,166661663
Brunei,BRN,1997,12.1,305357
Bulgaria,BGR,1997,30.1,8217101
Burkina Faso,BFA,1997,12.4,10934224
Burundi,BDI,1997,13.0,6070038
Cambodia,KHM,1997,23.200001,11570986
Cameroon,CMR,1997,8.0,13775217
Canada,CAN,1997,24.700001,30059087
Cape Verde,CPV,1997,6.1999998,432803
Central African Republic,CAF,1997,8.3000002,3531700
Chad,TCD,1997,7.1999998,7670372
Chile,CHL,1997,37.200001,14932435
China,CHN,1997,29.299999,1241139619
Colombia,COL,1997,12.7,37121156
Comoros,COM,1997,13.4,507779
Congo,COG,1997,8.3999996,2887861
Costa Rica,CRI,1997,9.1999998,3701712
Cote d'Ivoire,CIV,1997,8.5,16047178
Croatia,HRV,1997,26.0,4504629
Cuba,CUB,1997,19.4,10997932
Cyprus,CYP,1997,34.200001,897576
Czechia,CZE,1997,25.299999,10280049
Democratic Republic of Congo,COD,1997,7.9000001,46029908
Denmark,DNK,1997,34.0,5285041
Djibouti,DJI,1997,21.5,671826
Dominica,DMA,1997,6.0,69315
Dominican Republic,DOM,1997,15.4,8174082
East Timor,TLS,1997,32.900002,917188
Ecuador,ECU,1997,8.5,12031128
Egypt,EGY,1997,16.200001,68431737
El Salvador,SLV,1997,10.4,5844577
Equatorial Guinea,GNQ,1997,11.1,616898
Eritrea,ERI,1997,6.8000002,2152146
Estonia,EST,1997,28.9,1421494
Eswatini,SWZ,1997,6.0999999,1006648
Ethiopia,ETH,1997,4.0,61404542
Fiji,FJI,1997,15.0,812145
Finland,FIN,1997,21.6,5139926
France,FRA,1997,31.1,58568662
Gabon,GAB,1997,9.1999998,1181445
Gambia,GMB,1997,13.7,1338897
Georgia,GEO,1997,22.6,4695360
Germany,DEU,1997,26.1,82389631
Ghana,GHA,1997,4.6999998,18238961
Greece,GRC,1997,38.799999,10622327
Grenada,GRD,1997,9.5,105309
Guatemala,GTM,1997,8.3999996,10857754
Guinea,GIN,1997,6.5,7931372
Guinea-Bissau,GNB,1997,6.8000002,1165550
Guyana,GUY,1997,13.4,762248
Haiti,HTI,1997,9.3999996,7854304
Honduras,HND,1997,13.6,6071458
Hungary,HUN,1997,29.9,10278600
Iceland,ISL,1997,27.299999,271193
India,IND,1997,16.5,999133765
Indonesia,IDN,1997,27.5,206536090
Iran,IRN,1997,11.7,63639637
Iraq,IRQ,1997,17.1,22176603
Ireland,IRL,1997,29.299999,3672287
Israel,ISR,1997,26.6,5646476
Italy,ITA,1997,24.5,57189272
Jamaica,JAM,1997,15.9,2547852
Japan,JPN,1997,30.9,126265926
Jordan,JOR,1997,26.700001,5046288
Kazakhstan,KAZ,1997,19.1,16043250
Kenya,KEN,1997,11.2,28101763
Kiribati,KIR,1997,50.0,84161
Kuwait,KWT,1997,23.700001,1787692
Kyrgyzstan,KGZ,1997,18.5,4847998
Laos,LAO,1997,33.5,5152015
Latvia,LVA,1997,30.1,2433230
Lebanon,LBN,1997,38.799999,4108409
Lesotho,LSO,1997,21.1,1988139
Liberia,LBR,1997,7.4000001,2412994
Libya,LBY,1997,10.8,5064640
Lithuania,LTU,1997,23.9,3573418
Luxembourg,LUX,1997,29.0,418970
Madagascar,MDG,1997,21.700001,14990817
Malawi,MWI,1997,13.0,10562035
Malaysia,MYS,1997,21.700001,21375224
Maldives,MDV,1997,18.799999,267713
Mali,MLI,1997,10.1,10646498
Malta,MLT,1997,27.1,390687
Marshall Islands,MHL,1997,19.200001,49277
Mauritania,MRT,1997,10.8,2411316
Mauritius,MUS,1997,20.0,1184305
Mexico,MEX,1997,17.200001,94021205
Moldova,MDA,1997,21.200001,4355536
Mongolia,MNG,1997,22.1,2389131
Montenegro,MNE,1997,27.700001,633538
Morocco,MAR,1997,13.9,27213339
Mozambique,MOZ,1997,11.4,16949989
Myanmar,MMR,1997,20.700001,43708802
Namibia,NAM,1997,17.9,1689275
Nepal,NPL,1997,36.799999,23219459
Netherlands,NLD,1997,26.799999,15723620
New Zealand,NZL,1997,24.9,3776950
Nicaragua,NIC,1997,10.9,4809574
Niger,NER,1997,5.4000001,10383977
Nigeria,NGA,1997,6.5999999,116754791
North Korea,PRK,1997,24.1,23110836
North Macedonia,MKD,1997,37.599998,2025762
Norway,NOR,1997,30.200001,4404986
Oman,OMN,1997,9.6000004,2190726
Pakistan,PAK,1997,19.0,142531801
Palestine,PSE,1997,26.0,2859582
Panama,PAN,1997,9.6999998,2836702
Papua New Guinea,PNG,1997,37.900002,4987889
Paraguay,PRY,1997,15.2,4794417
Peru,PER,1997,10.3,25274149
Philippines,PHL,1997,28.4,73908814
Poland,POL,1997,32.200001,38348307
Portugal,PRT,1997,20.0,10110548
Qatar,QAT,1997,16.0,550511
Romania,ROU,1997,28.5,22411509
Russia,RUS,1997,32.200001,147853772
Rwanda,RWA,1997,13.7,7755237
Saint Lucia,LCA,1997,10.2,152584
Saint Vincent and the Grenadines,VCT,1997,9.3000002,113158
Samoa,WSM,1997,27.9,177562
Sao Tome and Principe,STP,1997,3.2,138934
Saudi Arabia,SAU,1997,12.7,14374948
Senegal,SEN,1997,10.2,9283503
Serbia,SRB,1997,29.200001,7789183
Seychelles,SYC,1997,15.9,79670
Sierra Leone,SLE,1997,17.299999,4253710
Singapore,SGP,1997,14.7,3796630
Slovakia,SVK,1997,24.4,5369781
Slovenia,SVN,1997,24.299999,1984399
Solomon Islands,SLB,1997,28.4,407480
Somalia,SOM,1997,10.7,7824531
South Africa,ZAF,1997,22.0,45666836
South Korea,KOR,1997,32.099998,45941541
Spain,ESP,1997,31.299999,40423823
Sri Lanka,LKA,1997,12.5,18248204
Sudan,SDN,1997,5.6999998,25799826
Suriname,SUR,1997,6.5,448068
Sweden,SWE,1997,20.700001,8845524
Switzerland,CHE,1997,30.700001,7089163
Syria,SYR,1997,16.5,15417539
Taiwan,TWN,1997,23.1,21885333
Tajikistan,TJK,1997,17.700001,6139830
Tanzania,TZA,1997,11.4,31578094
Thailand,THA,1997,24.299999,60724589
Togo,TGO,1997,6.0999999,4725037
Tonga,TON,1997,31.200001,100691
Trinidad and Tobago,TTO,1997,18.200001,1305837
Tunisia,TUN,1997,22.799999,9421273
Turkey,TUR,1997,28.700001,62852969
Turkmenistan,TKM,1997,22.0,4336733
Uganda,UGA,1997,12.7,21856044
Ukraine,UKR,1997,29.799999,50786882
United Arab Emirates,ARE,1997,18.200001,2817411
United Kingdom,GBR,1997,28.1,58447090
United States,USA,1997,20.700001,273468014
Uruguay,URY,1997,28.799999,3223350
Uzbekistan,UZB,1997,11.2,23758960
Vanuatu,VUT,1997,21.1,174639
Venezuela,VEN,1997,18.299999,23131691
Vietnam,VNM,1997,28.1,74226890
Yemen,YEM,1997,19.6,17873943
Zambia,ZMB,1997,11.4,9237064
Zimbabwe,ZWE,1997,11.2,11369833
