Entity,Code,Year,Prevalence of current tobacco use (% of adults),Population
Lebanon,LBN,2018,38.4,5984120
Lebanon,LBN,2019,38.4,5794600
Lebanon,LBN,2020,38.2,5702401
Lesotho,LSO,2000,31.1,2003918
Lesotho,LSO,2005,28.9,1953080
Lesotho,LSO,2010,27.2,1996257
Lesotho,LSO,2015,25.6,2104613
Lesotho,LSO,2018,24.4,2183612
Lesotho,LSO,2019,24.4,2209414
Lesotho,LSO,2020,24.3,2235727
Liberia,LBR,2000,16.3,2928117
Liberia,LBR,2005,13.6,3301017
Liberia,LBR,2010,11.5,4058897
Liberia,LBR,2015,9.6,4659438
Liberia,LBR,2018,8.4,4944727
Liberia,LBR,2019,8.4,5043720
Liberia,LBR,2020,8.2,5149471
Lithuania,LTU,2000,41.4,3500410
Lithuania,LTU,2005,38.9,3322264
Lithuania,LTU,2010,36.4,3097719
Lithuania,LTU,2015,34.0,2905772
Lithuania,LTU,2018,32.3,2802484
Lithuania,LTU,2019,32.3,2795057
Lithuania,LTU,2020,32.0,2795766
Low-income countries,,2000,21.796463,390079727
Low-income countries,,2005,18.819305,450155671
Low-income countries,,2010,16.304663,520054114
Low-income countries,,2015,14.232297,592175408
Low-income countries,,2018,12.809574,642186193
Low-income countries,,2019,12.795115,660718368
Low-income countries,,2020,12.463944,679560751
Lower-middle-income countries,,2000,43.284454,2271915129
Lower-middle-income countries,,2005,36.88581,2487466881
Lower-middle-income countries,,2010,31.551897,2707862957
Lower-middle-income countries,,2015,27.271875,2931203438
Lower-middle-income countries,,2018,24.276703,3059616816
Lower-middle-income countries,,2019,24.249826,3101052514
Lower-middle-income countries,,2020,23.577711,3141910133
Luxembourg,LUX,2000,31.0,436142
Luxembourg,LUX,2005,28.2,465372
Luxembourg,LUX,2010,25.6,507418
Luxembourg,LUX,2015,23.2,569541
Luxembourg,LUX,2018,21.6,608108
Luxembourg,LUX,2019,21.6,620166
Luxembourg,LUX,2020,21.1,630597
Madagascar,MDG,2000,46.7,16516337
Madagascar,MDG,2005,40.7,19159713
Madagascar,MDG,2010,35.4,22183343
Madagascar,MDG,2015,31.3,25426704
Madagascar,MDG,2018,28.4,27494930
Madagascar,MDG,2019,28.4,28219558
Madagascar,MDG,2020,27.8,28953560
Malawi,MWI,2000,24.1,11315946
Malawi,MWI,2005,19.5,12840034
Malawi,MWI,2010,16.0,14826466
Malawi,MWI,2015,13.1,17085585
Malawi,MWI,2018,11.3,18528087
Malawi,MWI,2019,11.3,19025748
Malawi,MWI,2020,10.8,19533886
Malaysia,MYS,2000,29.5,22967817
Malaysia,MYS,2005,27.5,25836073
Malaysia,MYS,2010,25.6,28655771
Malaysia,MYS,2015,23.9,31232796
Malaysia,MYS,2018,22.8,32910962
Malaysia,MYS,2019,22.8,33440588
Malaysia,MYS,2020,22.5,33889555
Maldives,MDV,2000,38.3,282025
Maldives,MDV,2005,34.1,306431
Maldives,MDV,2010,30.6,360801
Maldives,MDV,2015,27.6,428165
Maldives,MDV,2018,25.9,473107
Maldives,MDV,2019,25.9,487737
Maldives,MDV,2020,25.2,502127
Mali,MLI,2000,16.3,11559291
Mali,MLI,2005,13.8,13538647
Mali,MLI,2010,11.6,15945201
Mali,MLI,2015,9.9,18593022
Mali,MLI,2018,8.6,20442029
Mali,MLI,2019,8.6,21068406
Mali,MLI,2020,8.3,21713839
Malta,MLT,2000,34.3,399905
Malta,MLT,2005,31.4,413323
Malta,MLT,2010,28.6,422652
Malta,MLT,2015,26.3,444979
Malta,MLT,2018,24.5,484559
Malta,MLT,2019,24.5,504017
Malta,MLT,2020,24.0,518213
Marshall Islands,MHL,2000,28.5,50721
Marshall Islands,MHL,2005,28.4,51928
Marshall Islands,MHL,2010,28.4,52065
Marshall Islands,MHL,2015,28.4,48822
Marshall Islands,MHL,2018,28.4,45306
Marshall Islands,MHL,2019,28.4,44029
Marshall Islands,MHL,2020,28.5,42728
Mauritania,MRT,2000,21.3,2613451
Mauritania,MRT,2005,17.9,2939062
Mauritania,MRT,2010,15.1,3390967
Mauritania,MRT,2015,12.6,3965959
Mauritania,MRT,2018,11.1,4337685
Mauritania,MRT,2019,11.1,4467714
Mauritania,MRT,2020,10.7,4600135
Mauritius,MUS,2000,25.5,1216632
Mauritius,MUS,2005,24.1,1257214
Mauritius,MUS,2010,22.7,1282710
Mauritius,MUS,2015,21.4,1292282
Mauritius,MUS,2018,20.5,1288835
Mauritius,MUS,2019,20.5,1286269
Mauritius,MUS,2020,20.2,1283230
Mexico,MEX,2000,24.0,98625554
Mexico,MEX,2005,20.6,105811502
Mexico,MEX,2010,17.7,113623897
Mexico,MEX,2015,15.2,121072310
Mexico,MEX,2018,13.4,124573714
Mexico,MEX,2019,13.4,125762977
Mexico,MEX,2020,13.1,126799052
Moldova,MDA,2000,25.3,4234970
Moldova,MDA,2005,26.0,3988666
Moldova,MDA,2010,26.9,3631993
Moldova,MDA,2015,27.9,3287169
Moldova,MDA,2018,28.7,3153779
Moldova,MDA,2019,28.7,3112563
Moldova,MDA,2020,29.0,3069135
Mongolia,MNG,2000,34.1,2455184
Mongolia,MNG,2005,32.9,2563466
Mongolia,MNG,2010,31.6,2701738
Mongolia,MNG,2015,30.6,2976528
Mongolia,MNG,2018,29.6,3167714
Mongolia,MNG,2019,29.6,3232119
Mongolia,MNG,2020,29.4,3290788
Montenegro,MNE,2000,38.7,634198
Montenegro,MNE,2005,36.7,634057
Montenegro,MNE,2010,34.9,632090
Montenegro,MNE,2015,33.1,628147
Montenegro,MNE,2018,31.8,615799
Montenegro,MNE,2019,31.8,611673
Montenegro,MNE,2020,31.4,607936
Morocco,MAR,2000,22.5,28423439
Morocco,MAR,2005,20.1,30358145
Morocco,MAR,2010,18.1,32467008
Morocco,MAR,2015,16.2,34607590
Morocco,MAR,2018,14.9,35839760
Morocco,MAR,2019,14.9,36210907
Morocco,MAR,2020,14.5,36584208
Mozambique,MOZ,2000,29.4,18129652
Mozambique,MOZ,2005,24.5,20304578
Mozambique,MOZ,2010,20.5,22999235
Mozambique,MOZ,2015,17.0,26547575
Mozambique,MOZ,2018,14.8,29018646
Mozambique,MOZ,2019,14.8,29884376
Mozambique,MOZ,2020,14.3,30783685
Myanmar,MMR,2000,66.9,45290851
Myanmar,MMR,2005,60.6,47438362
Myanmar,MMR,2010,54.6,49024376
Myanmar,MMR,2015,48.8,51089060
Myanmar,MMR,2018,45.1,52272246
Myanmar,MMR,2019,45.1,52640718
Myanmar,MMR,2020,44.1,53016525
Namibia,NAM,2000,25.6,1818651
Namibia,NAM,2005,22.3,1966581
Namibia,NAM,2010,19.5,2109813
Namibia,NAM,2015,17.1,2374305
Namibia,NAM,2018,15.5,2577327
Namibia,NAM,2019,15.5,2650500
Namibia,NAM,2020,15.1,2728763
Nauru,NRU,2000,63.4,10187
Nauru,NRU,2005,59.2,10071
Nauru,NRU,2010,55.5,10067
Nauru,NRU,2015,51.8,10974
Nauru,NRU,2018,49.2,11499
Nauru,NRU,2019,49.2,11609
Nauru,NRU,2020,48.5,11665
Nepal,NPL,2000,64.5,24546510
Nepal,NPL,2005,53.5,26309462
Nepal,NPL,2010,43.6,27341955
Nepal,NPL,2015,36.0,27823631
Nepal,NPL,2018,31.5,28079686
Nepal,NPL,2019,31.5,28414066
Nepal,NPL,2020,30.4,28966582
Netherlands,NLD,2000,34.3,16058758
Netherlands,NLD,2005,30.6,16465707
Netherlands,NLD,2010,27.5,16771232
Netherlands,NLD,2015,24.6,17107427
Netherlands,NLD,2018,22.6,17421284
Netherlands,NLD,2019,22.6,17537506
Netherlands,NLD,2020,22.2,17636732
New Zealand,NZL,2000,29.6,3857576
New Zealand,NZL,2005,24.3,4135004
New Zealand,NZL,2010,20.1,4347767
New Zealand,NZL,2015,16.5,4614037
New Zealand,NZL,2018,14.2,4900844
New Zealand,NZL,2019,14.2,4989412
New Zealand,NZL,2020,13.7,5069893
Niger,NER,2000,9.7,11509635
Niger,NER,2005,9.0,13756191
Niger,NER,2010,8.4,16548832
Niger,NER,2015,7.9,19939497
Niger,NER,2018,7.6,22188074
Niger,NER,2019,7.6,22947765
Niger,NER,2020,7.4,23717614
Nigeria,NGA,2000,9.3,126382491
Nigeria,NGA,2005,7.4,145017255
Nigeria,NGA,2010,5.9,166642887
Nigeria,NGA,2015,4.7,190671883
Nigeria,NGA,2018,3.9,204938753
Nigeria,NGA,2019,3.9,209485636
Nigeria,NGA,2020,3.7,213996186
North Korea,PRK,2000,28.5,23665910
North Korea,PRK,2005,25.2,24396433
North Korea,PRK,2010,22.3,24987258
North Korea,PRK,2015,19.6,25575355
North Korea,PRK,2018,17.8,25931155
North Korea,PRK,2019,17.8,26037633
North Korea,PRK,2020,17.4,26136313
Norway,NOR,2000,44.0,4490866
Norway,NOR,2005,34.3,4623119
Norway,NOR,2010,26.7,4889160
Norway,NOR,2015,20.7,5189776
Norway,NOR,2018,17.1,5311751
Norway,NOR,2019,17.1,5347735
Norway,NOR,2020,16.2,5379274
Oman,OMN,2000,7.6,2282138
Oman,OMN,2005,7.7,2459808
Oman,OMN,2010,7.7,2757451
Oman,OMN,2015,7.8,4184897
Oman,OMN,2018,7.9,4597879
Oman,OMN,2019,7.9,4591247
Oman,OMN,2020,8.0,4522503
Pakistan,PAK,2000,37.5,154879124
Pakistan,PAK,2005,31.9,175453212
Pakistan,PAK,2010,27.4,199239047
Pakistan,PAK,2015,23.6,217290885
Pakistan,PAK,2018,20.8,226928893
Pakistan,PAK,2019,20.8,230800909
Pakistan,PAK,2020,20.2,235001743
Palau,PLW,2000,26.1,19206
Palau,PLW,2005,23.7,19836
Palau,PLW,2010,21.4,18418
Palau,PLW,2015,19.4,17791
Palau,PLW,2018,17.9,17842
Palau,PLW,2019,17.9,17820
Palau,PLW,2020,17.6,17817
Panama,PAN,2000,13.4,3010376
Panama,PAN,2005,10.5,3313025
Panama,PAN,2010,8.2,3628537
Panama,PAN,2015,6.4,3960036
Panama,PAN,2018,5.3,4167859
Panama,PAN,2019,5.3,4234699
Panama,PAN,2020,5.0,4293258
Papua New Guinea,PNG,2000,54.1,5537068
Papua New Guinea,PNG,2005,49.7,6535905
Papua New Guinea,PNG,2010,45.9,7633523
Papua New Guinea,PNG,2015,42.5,8743247
Papua New Guinea,PNG,2018,39.9,9394519
Papua New Guinea,PNG,2019,39.9,9609014
Papua New Guinea,PNG,2020,39.3,9815741
Paraguay,PRY,2000,29.1,5100874
Paraguay,PRY,2005,23.0,5448102
Paraguay,PRY,2010,18.2,5737974
Paraguay,PRY,2015,14.5,6159106
Paraguay,PRY,2018,12.1,6427383
Paraguay,PRY,2019,12.1,6515060
Paraguay,PRY,2020,11.5,6603742
Peru,PER,2000,32.9,26598327
Peru,PER,2005,23.1,28101174
Peru,PER,2010,16.3,29086021
Peru,PER,2015,11.5,30457600
Peru,PER,2018,8.7,31897590
Peru,PER,2019,8.7,32449301
Peru,PER,2020,8.1,32838576
Philippines,PHL,2000,34.9,79625402
Philippines,PHL,2005,31.6,88015957
Philippines,PHL,2010,28.3,96337126
Philippines,PHL,2015,25.4,105312986
Philippines,PHL,2018,23.4,109465284
Philippines,PHL,2019,23.4,110804685
Philippines,PHL,2020,22.9,112081271
Poland,POL,2000,39.6,38258076
Poland,POL,2005,35.0,38124377
Poland,POL,2010,30.8,38095356
Poland,POL,2015,27.2,38266314
Poland,POL,2018,24.7,38241070
Poland,POL,2019,24.7,38225884
Poland,POL,2020,24.0,38171005
Portugal,PRT,2000,25.7,10283196
Portugal,PRT,2005,25.3,10502994
Portugal,PRT,2010,25.3,10578659
Portugal,PRT,2015,25.2,10370266
Portugal,PRT,2018,25.3,10325353
Portugal,PRT,2019,25.3,10343218
Portugal,PRT,2020,25.4,10370519
Qatar,QAT,2000,13.5,644993
Qatar,QAT,2005,13.0,825417
Qatar,QAT,2010,12.6,1709240
Qatar,QAT,2015,12.2,2427337
Qatar,QAT,2018,12.0,2761145
Qatar,QAT,2019,12.0,2797927
Qatar,QAT,2020,11.8,2803373
Romania,ROU,2000,35.0,22046264
Romania,ROU,2005,33.2,21213395
Romania,ROU,2010,31.4,20432576
Romania,ROU,2015,29.7,19871018
Romania,ROU,2018,28.4,19597874
Romania,ROU,2019,28.4,19501543
Romania,ROU,2020,28.0,19392469
Russia,RUS,2000,33.3,146717784
Russia,RUS,2005,31.3,144597888
Russia,RUS,2010,29.8,143934468
Russia,RUS,2015,28.3,145307611
Russia,RUS,2018,27.1,146430147
Russia,RUS,2019,27.1,146533063
Russia,RUS,2020,26.8,146371293
Rwanda,RWA,2000,24.8,8213935
Rwanda,RWA,2005,21.3,9054532
Rwanda,RWA,2010,18.5,10317559
Rwanda,RWA,2015,15.9,11640027
Rwanda,RWA,2018,14.1,12487999
Rwanda,RWA,2019,14.1,12776104
Rwanda,RWA,2020,13.7,13065839
Samoa,WSM,2000,39.0,181695
Samoa,WSM,2005,35.0,186993
Samoa,WSM,2010,31.4,193035
Samoa,WSM,2015,28.1,201794
Samoa,WSM,2018,25.9,207595
Samoa,WSM,2019,25.9,209793
Samoa,WSM,2020,25.3,211958
Sao Tome and Principe,STP,2000,7.8,144028
Sao Tome and Principe,STP,2005,7.2,161650
Sao Tome and Principe,STP,2010,6.6,181811
Sao Tome and Principe,STP,2015,6.2,200306
Sao Tome and Principe,STP,2018,5.8,210198
Sao Tome and Principe,STP,2019,5.8,213404
Sao Tome and Principe,STP,2020,5.7,217449
Saudi Arabia,SAU,2000,14.2,16177733
Saudi Arabia,SAU,2005,14.2,20559884
Saudi Arabia,SAU,2010,14.2,25157135
Saudi Arabia,SAU,2015,14.2,29974944
Saudi Arabia,SAU,2018,14.2,30365119
Saudi Arabia,SAU,2019,14.2,30472810
Saudi Arabia,SAU,2020,14.3,30991205
Senegal,SEN,2000,14.3,9968263
Senegal,SEN,2005,11.9,11235473
Senegal,SEN,2010,9.9,12635418
Senegal,SEN,2015,8.3,14593336
Senegal,SEN,2018,7.1,15914495
Senegal,SEN,2019,7.1,16352926
Senegal,SEN,2020,6.9,16789215
Serbia,SRB,2000,45.1,7694608
Serbia,SRB,2005,43.7,7539139
Serbia,SRB,2010,42.3,7395872
Serbia,SRB,2015,40.9,7177257
Serbia,SRB,2018,40.1,7020016
Serbia,SRB,2019,40.1,6966154
Serbia,SRB,2020,39.8,6907817
Seychelles,SYC,2000,28.7,83339
Seychelles,SYC,2005,26.2,89288
Seychelles,SYC,2010,24.0,94993
Seychelles,SYC,2015,22.1,107247
Seychelles,SYC,2018,20.6,115053
Seychelles,SYC,2019,20.6,117662
Seychelles,SYC,2020,20.2,120299
Sierra Leone,SLE,2000,43.7,4423614
Sierra Leone,SLE,2005,32.6,5501707
Sierra Leone,SLE,2010,24.3,6222715
Sierra Leone,SLE,2015,18.1,7037659
Sierra Leone,SLE,2018,14.3,7554566
Sierra Leone,SLE,2019,14.3,7731995
Sierra Leone,SLE,2020,13.5,7912558
Singapore,SGP,2000,16.4,4035251
Singapore,SGP,2005,16.5,4268361
Singapore,SGP,2010,16.5,5077019
Singapore,SGP,2015,16.5,5525343
Singapore,SGP,2018,16.6,5634367
Singapore,SGP,2019,16.6,5669562
Singapore,SGP,2020,16.5,5620150
Slovakia,SVK,2000,32.0,5380001
Slovakia,SVK,2005,31.7,5376696
Slovakia,SVK,2010,31.6,5391857
Slovakia,SVK,2015,31.5,5420279
Slovakia,SVK,2018,31.5,5443230
Slovakia,SVK,2019,31.5,5450626
Slovakia,SVK,2020,31.5,5455028
Slovenia,SVN,2000,25.1,1986818
Slovenia,SVN,2005,24.2,1996914
Slovenia,SVN,2010,23.5,2044612
Slovenia,SVN,2015,22.7,2059947
Slovenia,SVN,2018,22.3,2069484
Slovenia,SVN,2019,22.3,2083436
Slovenia,SVN,2020,22.0,2102419
Solomon Islands,SLB,2000,43.5,440481
Solomon Islands,SLB,2005,41.3,483090
Solomon Islands,SLB,2010,39.6,532977
Solomon Islands,SLB,2015,37.9,639423
Solomon Islands,SLB,2018,36.8,709109
Solomon Islands,SLB,2019,36.8,728156
Solomon Islands,SLB,2020,36.5,744507
South Africa,ZAF,2000,23.5,47159714
South Africa,ZAF,2005,22.5,49490041
South Africa,ZAF,2010,21.6,52344045
South Africa,ZAF,2015,21.0,56723537
South Africa,ZAF,2018,20.4,58613000
South Africa,ZAF,2019,20.4,59587880
South Africa,ZAF,2020,20.3,60562374
South Korea,KOR,2000,35.0,46766659
South Korea,KOR,2005,30.7,47851646
South Korea,KOR,2010,27.0,48769330
South Korea,KOR,2015,23.8,50983908
South Korea,KOR,2018,21.4,51640894
South Korea,KOR,2019,21.4,51767843
South Korea,KOR,2020,20.8,51858480
Spain,ESP,2000,36.8,41019773
Spain,ESP,2005,34.3,43958884
Spain,ESP,2010,31.9,46840470
Spain,ESP,2015,29.7,46683683
Spain,ESP,2018,28.1,47092817
Spain,ESP,2019,28.1,47435120
Spain,ESP,2020,27.7,47679482
Sri Lanka,LKA,2000,28.5,19293057
Sri Lanka,LKA,2005,26.5,20216531
Sri Lanka,LKA,2010,24.8,20879090
Sri Lanka,LKA,2015,23.3,21729974
Sri Lanka,LKA,2018,22.3,22253113
Sri Lanka,LKA,2019,22.3,22410552
Sri Lanka,LKA,2020,22.0,22561807
Sweden,SWE,2000,43.8,8872100
Sweden,SWE,2005,37.6,9029770
Sweden,SWE,2010,32.3,9378234
Sweden,SWE,2015,27.9,9799482
Sweden,SWE,2018,24.8,10175401
Sweden,SWE,2019,24.8,10279122
Sweden,SWE,2020,24.0,10353680
Switzerland,CHE,2000,28.3,7184003
Switzerland,CHE,2005,27.7,7431824
Switzerland,CHE,2010,26.9,7825751
Switzerland,CHE,2015,26.2,8283940
Switzerland,CHE,2018,25.7,8516339
Switzerland,CHE,2019,25.7,8577526
Switzerland,CHE,2020,25.5,8640582
Tanzania,TZA,2000,27.8,34260142
Tanzania,TZA,2005,20.7,39182083
Tanzania,TZA,2010,15.5,44758489
Tanzania,TZA,2015,11.6,52020959
Tanzania,TZA,2018,9.2,57437134
Tanzania,TZA,2019,9.2,59174889
Tanzania,TZA,2020,8.7,60972801
Thailand,THA,2000,31.7,63007813
Thailand,THA,2005,28.8,66017415
Thailand,THA,2010,26.3,68579442
Thailand,THA,2015,24.1,70540790
Thailand,THA,2018,22.5,71376080
Thailand,THA,2019,22.5,71522265
Thailand,THA,2020,22.1,71641484
Togo,TGO,2000,14.4,5140046
Togo,TGO,2005,11.9,5844638
Togo,TGO,2010,9.8,6732595
Togo,TGO,2015,8.2,7663199
Togo,TGO,2018,7.1,8258781
Togo,TGO,2019,7.1,8463068
Togo,TGO,2020,6.8,8669722
Tonga,TON,2000,33.5,102694
Tonga,TON,2005,32.8,105683
Tonga,TON,2010,32.1,107415
Tonga,TON,2015,31.6,106111
Tonga,TON,2018,31.1,105589
Tonga,TON,2019,31.1,105688
Tonga,TON,2020,31.0,105719
Tunisia,TUN,2000,34.3,9764940
Tunisia,TUN,2005,31.6,10255475
Tunisia,TUN,2010,29.0,10765982
Tunisia,TUN,2015,26.6,11402270
Tunisia,TUN,2018,25.0,11765515
Tunisia,TUN,2019,25.0,11875085
Tunisia,TUN,2020,24.6,11974058
Turkey,TUR,2000,32.9,65425958
Turkey,TUR,2005,32.2,69329555
Turkey,TUR,2010,31.7,73346766
Turkey,TUR,2015,31.1,80014221
Turkey,TUR,2018,30.9,84415966
Turkey,TUR,2019,30.9,85357671
Turkey,TUR,2020,30.7,86091691
Turkmenistan,TKM,2000,12.0,4582676
Turkmenistan,TKM,2005,9.9,5052259
Turkmenistan,TKM,2010,8.2,5564355
Turkmenistan,TKM,2015,6.7,6215775
Turkmenistan,TKM,2018,5.8,6655523
Turkmenistan,TKM,2019,5.8,6803942
Turkmenistan,TKM,2020,5.5,6949915
Tuvalu,TUV,2000,48.8,9566
Tuvalu,TUV,2005,45.3,9964
Tuvalu,TUV,2010,41.8,10635
Tuvalu,TUV,2015,38.4,10984
Tuvalu,TUV,2018,36.0,10775
Tuvalu,TUV,2019,36.0,10603
Tuvalu,TUV,2020,35.6,10423
Uganda,UGA,2000,24.7,24000157
Uganda,UGA,2005,18.8,27963287
Uganda,UGA,2010,14.3,32390800
Uganda,UGA,2015,10.9,37531444
Uganda,UGA,2018,8.9,41565839
Uganda,UGA,2019,8.9,42999636
Uganda,UGA,2020,8.4,44457149
Ukraine,UKR,2000,37.7,49556655
Ukraine,UKR,2005,34.3,47585558
Ukraine,UKR,2010,31.1,46456002
Ukraine,UKR,2015,28.4,45784903
Ukraine,UKR,2018,26.2,45208903
Ukraine,UKR,2019,26.2,44957450
Ukraine,UKR,2020,25.8,44680009
United Kingdom,GBR,2000,37.9,59057336
United Kingdom,GBR,2005,30.1,60596108
United Kingdom,GBR,2010,24.1,63006484
United Kingdom,GBR,2015,19.3,65382107
United Kingdom,GBR,2018,16.1,66752473
United Kingdom,GBR,2019,16.1,67110958
United Kingdom,GBR,2020,15.4,67351860
United States,USA,2000,33.8,281484127
United States,USA,2005,30.6,295716665
United States,USA,2010,28.0,311062786
United States,USA,2015,25.3,326126498
United States,USA,2018,23.4,335056495
United States,USA,2019,23.4,337790068
United States,USA,2020,23.0,339436157
Upper-middle-income countries,,2000,28.062386,2387650822
Upper-middle-income countries,,2005,26.9932,2487125039
Upper-middle-income countries,,2010,25.931273,2587239946
Upper-middle-income countries,,2015,25.00933,2698929424
Upper-middle-income countries,,2018,24.39132,2759864864
Upper-middle-income countries,,2019,24.374374,2776256182
Upper-middle-income countries,,2020,24.2201,2789064927
Uruguay,URY,2000,35.3,3266211
Uruguay,URY,2005,31.2,3285775
Uruguay,URY,2010,27.5,3318582
Uruguay,URY,2015,24.3,3368022
Uruguay,URY,2018,22.0,3394539
Uruguay,URY,2019,22.0,3397205
Uruguay,URY,2020,21.5,3398967
Uzbekistan,UZB,2000,24.9,24787051
Uzbekistan,UZB,2005,22.7,26356977
Uzbekistan,UZB,2010,20.9,28385508
Uzbekistan,UZB,2015,19.1,30749349
Uzbekistan,UZB,2018,17.8,32373490
Uzbekistan,UZB,2019,17.8,32964702
Uzbekistan,UZB,2020,17.6,33586372
Vanuatu,VUT,2000,25.6,186290
Vanuatu,VUT,2005,23.3,210773
Vanuatu,VUT,2010,21.3,238257
Vanuatu,VUT,2015,19.4,266116
Vanuatu,VUT,2018,18.2,285273
Vanuatu,VUT,2019,18.2,291994
Vanuatu,VUT,2020,17.8,298868
Vietnam,VNM,2000,29.8,77154015
Vietnam,VNM,2005,28.3,81088309
Vietnam,VNM,2010,27.0,87455150
Vietnam,VNM,2015,26.0,92823254
Vietnam,VNM,2018,25.0,96237319
Vietnam,VNM,2019,25.0,97173778
Vietnam,VNM,2020,24.8,98079196
Yemen,YEM,2000,27.3,19624139
Yemen,YEM,2005,25.3,22790082
Yemen,YEM,2010,23.4,26754384
Yemen,YEM,2015,21.8,31159379
Yemen,YEM,2018,20.5,34085182
Yemen,YEM,2019,20.5,35111417
Yemen,YEM,2020,20.3,36134868
Zambia,ZMB,2000,19.9,10017634
Zambia,ZMB,2005,18.1,11718820
Zambia,ZMB,2010,16.7,13965592
Zambia,ZMB,2015,15.5,16399090
Zambia,ZMB,2018,14.6,17973572
Zambia,ZMB,2019,14.6,18513841
Zambia,ZMB,2020,14.4,19059395
Zimbabwe,ZWE,2000,21.0,11892057
Zimbabwe,ZWE,2005,18.1,12483433
Zimbabwe,ZWE,2010,15.6,13356552
Zimbabwe,ZWE,2015,13.6,14399009
Zimbabwe,ZWE,2018,12.1,15034457
Zimbabwe,ZWE,2019,12.1,15271377
Zimbabwe,ZWE,2020,11.7,15526888
